text,date,from
We be back in full lock down by November,20210222,Guardian
"More lies, broken promises and false hopes.",20210222,Guardian
"Liar, Liar, pants on fire... here, let me put it out with this brick 😉",20210222,Guardian
So tens of thousands more unnecessary deaths then.,20210222,Guardian
what about the people who the vaccine killed ??????????????????????????????,20210222,Guardian
So its like i was thinking. That&#39;s a global washing Brain  decisions. Everywhere its the same.,20210222,Guardian
This must be the 10th lockdown.,20210222,Guardian
What a Hancock<br>And so is Bolix,20210222,Guardian
"BORIS JOHNSON is a political beast, he puts at risk with his elementary speech the inhabitants of the islands and the relations between countries, due to his political problems in his country, the future is not going to be as he believes, neither with much weapons nor with colonialist and genocidal words, the Falkland Islands are Argentine as London is from England, how is it possible that countries like England with experience and many brilliant people continue to have ministers of such low level as BORIS JOHNSON speaks as the dictator and murderer Galtieri of Argentina as the English beast Margaret Thatcher friend of the dictator and murderer Pinochet",20210222,Guardian
Never going to last lockdown from November to next April coming soon,20210222,Guardian
So it&#39;s slowly going to ease from insanity to irrational I guess,20210222,Guardian
"How about buying a comb, Boris? You look ridiculous.",20210222,Guardian
He speaks with an English accent but Boris is a German supporter. Our who political class are sell outs and German supporters. Destroy the German  house of commons. We need to take over parliament with force.,20210222,Guardian
"what is he trying to hide unter that wierd haircut, maybe a neuralink implant?",20210222,Guardian
Almost every comment section on Boris videos has been turned off. Why? Do the mean comments hurt is feelings?,20210222,Guardian
He needs a new face !Ugh!,20210222,Guardian
"Just in time. HSBC will collapse sometime around September, followed closely by Santander. The Bank of England and the EuroGroup will no longer be able to keep the lid on the Hyperinflation that is already in circulation and is only being held back by printing money around the clock.  Enjoy the Summer.",20210222,Guardian
Lockdown doesn&#39;t apply too Chinese students coming into our country ?? Why ?    Money !! So there aloud flights over here ! and us Brits cant fly anywhere,20210222,Guardian
FROM GERMANY lob mister johnson:SIE HABEN GUTE ARBEIT GEGN CORONA GELEISTET;WUNDERFULL!!,20210222,Guardian
What’s the pathogen ?,20210222,Guardian
"“When the people fear the government, there is tyranny. When the government fears the people, there is liberty.”<br>start getting scared Boris and Co,  the PEOPLE are coming for you",20210602,DailyMail
They should not have this kind of power over the people for any reason,20210602,DailyMail
Going to try to let? They have overstepped power by far and people are just letting them get away with it,20210602,DailyMail
&#39;We&#39;re going to try to allow people to travel&#39; welcome to the world of the fat little dictator Kim Jong Johnson.,20210602,DailyMail
British priminister is just a big pharma salesman now.....,20210602,DailyMail
"Haha  BORIS stick the travel,vaccine,lockdown, visiting or hugging family and friends, opening a window etc......where the sun dont shine",20210602,DailyMail
"Today&#39;s word &quot;Try&quot;<br>Compulsive thieves TRY not to steal,<br>Clumsy people TRY not to hurt themselves,<br>And most of the time with a few exceptions they FAIL",20210602,DailyMail
"Travelling should have never been restricted, WEF puppet willingly pushed the great reset. You will own nothing an be happy.",20210602,DailyMail
It&#39;s another advert for the sheeple to take up the Vaccines from Boris,20210602,DailyMail
Bojo the clown is just preparing the sheep  into another lockdown but they still don&#39;t get the hint that no one will go on holiday . 🤡,20210602,DailyMail
We don&#39;t get this time back. Another year written off. Events due to take place at CHRISTMAS are already being cancelled!,20210602,DailyMail
The dinghys have never stopped coming to Britain ever since the pandemic started,20210602,DailyMail
Resist the great reset! They have no authority over us. No lockdowns! Open borders! Fight for freedom!,20210602,DailyMail
"🤣🤣🤣😂🤣😂😂😂🤣🤣🤣 “but but I got the jabs, i did as you asked” 🤣🤣😂😂🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣",20210602,DailyMail
"Boris. I&#39;ve been lucky enough to work all of this plandemic. Guess what. I&#39;ve not had any sort of cold or kung flu. <br>How strange. <br>So when it comes to holidays, I&#39;ll go if I want to. I was born a free person",20210602,DailyMail
Why is a Kahzarian leading the British people. One cannot serve 2 masters.,20210602,DailyMail
Try?<br>They&#39;re already allowing people to travel that&#39;s how variants have been getting into the UK,20210602,DailyMail
"No hesitation moving countries to the red list, except India because we were just about to do a trade deal, but, no hesitation i stress. So lets keep everyone at home, bored as hell, whilst we let people in with new virus strains and then SAGE talk about locking down again. No hesitation. lol",20210602,DailyMail
He wants to protect the people of this country......🤣🤣🤣🤣,20210602,DailyMail
🐂💩,20210602,DailyMail
IF YOU THINK THE LOCKDOWN SHOULD END NOW OR AT LEAST MORE MEASURES LIFTED PUT A THUMBS UP PLEASE.,20200510,Independent
"Totally stupid this measures. I work in the NHS and this is  an insult  for all of us. First  noone need to exercize outside,people is dying!, that will be putting everyone at risk,  children should not go to school until vacines are out,  anyone   outside should  use mask,  social distancing is a myth the virus can travel more than 8 meters , so is all nonsense.",20200510,Independent
Whoever controls the numbers controls the population 🤷🏾‍♂️,20200510,Independent
So it’s basically the same advice under a different slogan,20200510,Independent
in coming second wave,20200510,Independent
Hes just waffling,20200510,Independent
Nice speech ? The appreciation of the efforts of people and the thoughts and condolences for people who have lost people to the virus was a nice sentiment<br><br>HOWEVER -<br>I picked up on several key points during the speech that emphasise the plan to monitor and track everyone<br>He said &quot;although we have a plan it is a conditional plan&quot; <br><br>The importance of using Data to stay on top of the virus ? ( and our privacy)<br><br>Levels 1 to 5 alerts which fundamentally was used to install fear amongst people to accept whatever the government told you during the 9/11 period which was followed by the &quot;Weapons&quot; of mass destruction campaign<br><br>He said it will be a necessity to continue to monitor the virus and we will all need to be part of the continued war against the virus<br><br>And tighter controls on people entering the uk . To prevent a re spike of the virus happening<br><br><br>All sounds good on paper ! But !<br><br>I can&#39;t help thinking tat the speech that offered nuggets of hope and &quot;ifs&quot; it was merely a preparation to acclimatise all of us to the next phase of the conditional plan which may ( i think WILL) introduce the reopening of business . Going back to work . Going on holidays overseas. Life insurance . Etc........providing you download and use there monitoring and tracking app of all of us.<br><br>Which obviously forces you by leverage to give up your rights to privacy and data protection because you have no choice if you wish to Work .Travel or go back to normal life again<br><br>JUST A THOUGHT ?,20200510,Independent
so basically nothing is changing just fining people money,20200510,Independent
"In an average year 17,000 people die of Influenza in the UK. How many have died this flu season?",20200510,Independent
Ur well fit,20200510,Independent
Moist prick,20200510,Independent
"Can I go and hug my grandkids or not?<br>What a load of rubbish, why doesn’t he  phone Trump to get a lesson in speaking plain English.",20200510,Independent
"Just to keep you safe, rest assured that the NHS have indemnified their heroes from prosecution and accountability for medical negligence, breaches of duty of care and all manner of conceivable malpractice",20200510,Independent
It’s been weeeks and we’re only on 4 wow,20200510,Independent
If everyone wore masks like in Taiwan then this whole thing wouldn&#39;t even be a problem,20200510,Independent
"This is genocide, millions will die now. Disgusting government and only cares about money.",20200510,Independent
"\"So by July some leasure reopens but with only members of your family?? When will we be able to see other people? <a href=\"\"https://www.youtube.com/watch?v=1VRIajS2JjA&amp;t=22m05s\"\">22:05</a>\"",20200510,Independent
This Corona virus is something else to humanity every body is panic over it and soon it gonna affect the global economy this is the high time to start investing in forex trading,20200510,Independent
So are secondary schools opening or just primary,20200510,Independent
Lockdown will carry on until june the 1st i guess,20200510,Independent
The pubs are shut down but not if they serve a meal 🤣🤦🏻‍♀️🤦🏻‍♀️🤦🏻‍♀️because the virus knows to stay away from pubs with dining 🤣🤣🤣good lord people. Wake up!,20201014,BBC
Don’t worry guys Covid has manners. If you get a meal you’ll be fine.,20201014,BBC
"Pubs can only open if they serve food? Yes of course, because the coronavirus only infects hungry people. 🤣",20201014,BBC
Im just here for the comments,20201014,BBC
We should go and arrest all of these politicians.,20201014,BBC
If a pregnant Woman go swimming she is basically a human submarine,20201014,BBC
"&quot;Ah, yes, put all these restrictions but the &#39;virus&#39; knows how much stacks are in your wallet and where to go.&quot; 😆😆 Government&#39;s a joke",20201014,BBC
The BS detector has gone into overdrive. Ordinary Brits know they are being conned -  as this comments section will clearly show.,20201014,BBC
I predict a riot.,20201014,BBC
IT&#39;S A TRAP!,20201014,BBC
"Boris is ignoring more than just science. Cough cough Julian Assange, UK role in Yemen famine, etc.",20201014,BBC
He knows he’s wrong but is far too arrogant to admit it....,20201014,BBC
lockdown: people whining<br>no-lockdown: same people whining,20201014,BBC
It is a really good thing I am introverted because I can see how patience is wearing thin for extroverts all over the world,20201014,BBC
"When the truth comes out, the BBC &amp; all the collaborators will be given a nice room in the &quot;Hotel California&quot;",20201014,BBC
BBC Spends more than £35Million to force the over 75&#39;s to pay up for a license or face bailiffs.,20201014,BBC
Houses can’t mix <br>Ok so me on a buss lots of people or shopping centre lots of people <br>Why ten pm thing places have to close <br>Sorry but covid is just another bug <br>I’m done with all this crap,20201014,BBC
"No to forced vaccines and lockdowns, end the BBC licence fee.",20201014,BBC
The test are inadequate it’s all pot noodle. Stop getting tested. It’s that simple.,20201014,BBC
We are now paying the price of becoming a service economy rather than a manufacturing one.,20201014,BBC
Who wants to bet they’ll shut everything down right afterwards? :’),20210222,BBC
Horse shit they&#39;ll put us back into lockdown again soon enough.,20210222,BBC
Then bringing it back in a couple of months don&#39;t kid yourselves people.,20210222,BBC
"Cool, so when is lockdown 4 going to start?",20210222,BBC
